container,Match,Container,Pallet,notes,Created TS
00008178101113877162,TRUE,TRUE,TRUE,,2/27/2021 11:40:15 AM
00008178101113877469,TRUE,TRUE,TRUE,,2/27/2021 11:42:20 AM
00008178101113880049,TRUE,TRUE,TRUE,,2/27/2021 1:09:47 PM
00008178101113880070,TRUE,TRUE,TRUE,,3/1/2021 12:06:43 PM
00008178101113880100,TRUE,TRUE,TRUE,,2/27/2021 1:04:40 PM
00008178101113880353,TRUE,TRUE,TRUE,,2/27/2021 11:32:16 AM
00008178101113886294,TRUE,TRUE,TRUE,,3/1/2021 8:27:08 AM
00008178101113886447,TRUE,TRUE,TRUE,,2/27/2021 11:37:15 AM
00008178101113886720,TRUE,FALSE,TRUE,,3/1/2021 1:42:35 PM
00008178101113889738,TRUE,TRUE,TRUE,,3/1/2021 8:02:03 AM
00008178101113889981,TRUE,TRUE,TRUE,,2/27/2021 12:42:08 PM
00008178101113890413,TRUE,TRUE,TRUE,,2/27/2021 12:38:58 PM
00008178101113891663,TRUE,TRUE,TRUE,,2/27/2021 1:06:52 PM
00008178101113891779,TRUE,TRUE,TRUE,,2/27/2021 11:30:10 AM
00008178101113891830,TRUE,TRUE,TRUE,,2/27/2021 11:34:38 AM
00008178101113891892,TRUE,TRUE,TRUE,,2/27/2021 1:01:34 PM
00008178101113892097,TRUE,TRUE,TRUE,,3/1/2021 8:17:26 AM
00008178101113892608,TRUE,TRUE,TRUE,,3/1/2021 8:14:37 AM
00008178101113893117,TRUE,TRUE,TRUE,,2/27/2021 11:27:17 AM
00008178101113893759,TRUE,TRUE,TRUE,,3/1/2021 8:20:31 AM
00008178101113894145,TRUE,TRUE,TRUE,,2/27/2021 11:23:39 AM
00008178101113894718,TRUE,TRUE,TRUE,,2/27/2021 12:54:55 PM
00008178101113894749,TRUE,TRUE,TRUE,,3/1/2021 8:19:04 AM
00008178101113894831,TRUE,TRUE,TRUE,,2/27/2021 12:59:26 PM
00008178101113894909,TRUE,TRUE,TRUE,,3/1/2021 1:21:50 PM
00008178101113895647,TRUE,TRUE,TRUE,,3/1/2021 8:04:33 AM
00008178101113895708,TRUE,TRUE,TRUE,,3/1/2021 11:47:43 AM
00008178101113896088,TRUE,TRUE,TRUE,,3/1/2021 1:23:27 PM
00008178101113897252,TRUE,TRUE,TRUE,,3/1/2021 3:00:13 PM
00008178101113897894,TRUE,TRUE,TRUE,,3/1/2021 1:21:02 PM
00008178101113898419,TRUE,TRUE,TRUE,,3/2/2021 5:48:03 AM
00008178101113899157,TRUE,TRUE,TRUE,,3/1/2021 12:00:15 PM
00008178101113899256,TRUE,TRUE,TRUE,,3/1/2021 8:28:00 AM
00008178101113899508,TRUE,TRUE,TRUE,,3/1/2021 1:34:53 PM
00008178101113899614,TRUE,TRUE,TRUE,,3/1/2021 1:43:33 PM
00008178101113900402,TRUE,TRUE,TRUE,,3/1/2021 3:18:42 PM
00008178101113900563,TRUE,TRUE,TRUE,,3/2/2021 8:28:51 AM
00008178101113900594,TRUE,TRUE,TRUE,,3/2/2021 5:36:22 AM
00008178101113900792,TRUE,TRUE,TRUE,,3/1/2021 12:07:32 PM
00008178101113901317,TRUE,TRUE,TRUE,,3/1/2021 1:33:34 PM
00008178101113901515,TRUE,TRUE,TRUE,,3/1/2021 1:34:11 PM
00008178101113901850,TRUE,TRUE,TRUE,,3/1/2021 11:58:41 AM
00008178101113902642,TRUE,TRUE,TRUE,,3/2/2021 11:12:24 AM
00008178101113902710,TRUE,TRUE,TRUE,,3/2/2021 5:35:53 AM
00008178101113902727,TRUE,TRUE,TRUE,,3/2/2021 2:08:47 PM
00008178101113902734,TRUE,TRUE,TRUE,,3/2/2021 8:24:16 AM
00008178101113902772,TRUE,TRUE,TRUE,,3/2/2021 8:24:52 AM
00008178101113902871,TRUE,TRUE,TRUE,,3/2/2021 11:13:11 AM
00008178101113903090,TRUE,TRUE,TRUE,,3/2/2021 2:10:12 PM
00008178101113903120,TRUE,TRUE,TRUE,,3/1/2021 3:20:55 PM
00008178101113903144,TRUE,TRUE,TRUE,,3/2/2021 5:34:50 AM
00008178101113903540,TRUE,TRUE,TRUE,,3/1/2021 3:20:15 PM
00008178101113930522,TRUE,TRUE,TRUE,,3/1/2021 8:11:23 AM
00008178101113932410,TRUE,TRUE,TRUE,,2/27/2021 11:19:22 AM
